,SRS045739,SRS015217,SRS049896,SRS012849,SRS011529,SRS014459,SRS011134,SRS016517,SRS020233,SRS014313,SRS017821,SRS045645,SRS021948,SRS016095,SRS023176,SRS011452,SRS013476,SRS013639,SRS045713,SRS015854,SRS019787,SRS017191,SRS049900,SRS017521,SRS043667,SRS019910,SRS020869,SRS018984,SRS015133,SRS015190,SRS016267,SRS013158,SRS015065,SRS018133,SRS024388,SRS049959,SRS019030,SRS015264,SRS017247,SRS015960,SRS022713,SRS013098,SRS015431,SRS048164,SRS011405,SRS016989,SRS019161,SRS024075,SRS015782,SRS024009,SRS019601,SRS017307,SRS015794,SRS018351,SRS018427,SRS019267,SRS015578,SRS024132,SRS043001,SRS013638,SRS021153,SRS019068,SRS042284,SRS045528,SRS024265,SRS014923,SRS048870,SRS013521,SRS016203,SRS021484,SRS011239,SRS049164,SRS023583,SRS012273,SRS018575,SRS012902,SRS014287,SRS047044,SRS017916,SRS015369,SRS043411,SRS043701,SRS014235,SRS049712,SRS016438,SRS016753,SRS016495,SRS016335,SRS049402,SRS045004,SRS011084,SRS024663,SRS013687,SRS023971,SRS019685,SRS023829,SRS042628,SRS020622,SRS014613,SRS011302,SRS017701,SRS022524,SRS011586,SRS022137,SRS017103,SRS024435,SRS023914,SRS011271,SRS013951,SRS018656,SRS017433,SRS019582,SRS018817,SRS018313,SRS024331,SRS013800,SRS023346,SRS013215,SRS019968,SRS023526,SRS022071,SRS019397,SRS015663,SRS047014,SRS019381,SRS016585,SRS024549,SRS014979,SRS024625,SRS011061,SRS020328,SRS016018,SRS012969,SRS016954,SRS015890,SRS021219,SRS016437,SRS016056,SRS022609,SRS014683,SRS047210,SRS017209,SRS023352,SRS047219,SRS018300,SRS023617,SRS013234,SRS011306,SRS015057,SRS078182,SRS019327,SRS018969,SRS015174,SRS014271,SRS021496,SRS063932,SRS062761,SRS019045,SRS053854,SRS011140,SRS013502,SRS055495,SRS013164,SRS062544,SRS023958,SRS053603,SRS016002,SRS044486,SRS056622,SRS012279,SRS015272,SRS063193,SRS017713,SRS018739,SRS022621,SRS015209,SRS013879,SRS045715,SRS016037,SRS023835,SRS019974,SRS014888,SRS017007,SRS014573,SRS024318,SRS057539,SRS050244,SRS018439,SRS015893,SRS052227,SRS016342,SRS013705,SRS019071,SRS054687,SRS015644,SRS011086,SRS024081,SRS017439,SRS016740,SRS065278,SRS016501,SRS042131,SRS015537,SRS042910,SRS055426,SRS022530,SRS057692,SRS024375,SRS019607,SRS023557,SRS020334,SRS018357,SRS044662,SRS024637,SRS014470,SRS047824,SRS042643,SRS015941,SRS043663,SRS049389,SRS018791,SRS016319,SRS024580,SRS017808,SRS015038,SRS011243,SRS023926,SRS077736,SRS019894,SRS019219,SRS063288,SRS017120,SRS016225,SRS015434,SRS017076,SRS017533,SRS022143,SRS064774,SRS021954,SRS048411,SRS013818,SRS014124,SRS064423,SRS014684,SRS057205,SRS057791,SRS075404,SRS015797,SRS062540,SRS024138,SRS019022,SRS024015,SRS022077,SRS011115,SRS018591,SRS051791,SRS024441,SRS056323,SRS020220,SRS018145,SRS015762,SRS024277,SRS045127,SRS049147,SRS050669,SRS019122,SRS044373,SRS057355,SRS016569,SRS016086,SRS020856,SRS015395,SRS058336,SRS048791,SRS019389,SRS022719,SRS016529
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061,,,40,286,1944,,10433,,278,,303,,,9,,,,,207,,,,,,1,814,3561,,,,,,,19,,815,,,,,,,12121,1,,,1845,,,,7,,,,,,,,,,,10337,,,157,17354,522,,1151,,1683,223,,11,,,,,283,,,,4810,8,,,,420,,,,,1,,1989,,,,,1470,195,,1208,,,25494,,,1274,,,8227,,,,5,,,,,,,304,366,,,,13774,,,,,,,,,,,2813,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_sp._AbM4;t__Unknown,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,,,,,,,2,,,,13,,,3,,3,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,1,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera_stadtmanae;t__Methanosphaera_stadtmanae_DSM_3091,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,163,,,,,,,,,,,,,,6091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter_thermautotrophicus;t__Methanothermobacter_thermautotrophicus_str._Delta_H,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus_voltae;t__Methanococcus_voltae_A3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus_bourgensis;t__Methanoculleus_bourgensis_MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,11,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum_hungatei;t__Methanospirillum_hungatei_JF-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus_psychrophilus;t__Methanolobus_psychrophilus_R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans_hollandica;t__Methanomethylovorans_hollandica_DSM_15978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_acetivorans;t__Methanosarcina_acetivorans_C2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina_mazei;t__Methanosarcina_mazei_Go1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus_Methanomassiliicoccus_intestinalis;t__Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1,,,,1,,,,,,,,,,27,,,13445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500,,,,,,,,,22647,,,,,,,,,,,,,,,,2530,14,,,,36,,,,,,,650,,,,,,,,,,,,,,,,,5710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Unknown;g__Unknown;s__Thermoplasmatales_archaeon_BRNA1;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Archaea;p__Thaumarchaeota;c__Unknown;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Candidatus_Nitrosopumilus_sp._AR2;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Unknown;c__Unknown;o__Unknown;f__Unknown;g__Unknown;s__bacterium_36B;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,2,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Unknown;c__Unknown;o__Unknown;f__Unknown;g__Unknown;s__endophytic_bacterium_LOB-07;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Unknown;c__Unknown;o__Unknown;f__Unknown;g__Unknown;s__uncultured_bacterium_AST2;t__Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k__Bacteria;p__Unknown;c__Unknown;o__Unknown;f__Unknown;g__Unknown;s__uncultured_bacterium_HH1107;t__Unknown,,,,,,9,1,26,28,,2,3,94,18,,,,3,,36,2,,,45,2,,,155,80,,,,22,78,1,24,130,,,3,,62,88,,8,59,7,,,21,44,1,,79,21,66,,,61,,245,53,,160,,18,3,128,,,6,4,13,,,,10,,4,,,,21,13,10,,13,6,46,26,10,103,,,23,,8,,1,6,3,,,,5,10,,,3,,2,2,67,,11,12,32,,33,,,,2,13,,,,39,1,7,7,47,,,154,118,11,68,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
